Name,Date,Tags,Sector,Countries
mgfsourcing.com,17/6/24,"finance/hr data, passwords, personal images, sales reports",Apparel or Fashion Industry,United States
thompsoncreek.com,15/7/24,"payroll, ar records, bank deposit confirmations, employee withholding certificate, kpi, learning and development",Home Improvement Industry,United States
northernsafety.com,Error,"accounting reports, credit card information, finance po reports, project folders, qa documents, warehouse information",Industrial Safety Equipment Distribution,United States
usdermpartners.com,Error,"accounting & finance data, business office data, compliance data, employees personal folders and documents, legal data, scans and fax, credentialing data, human resources",Healthcare/Dermatology,United States
memc.com,22/7/24,"clients data, nda documents, personal employees documents and info, r&d/engineering data",Semiconductor industry.,United States
pkaufmann.com,17/6/24,"confidential information, hr, accounting and finance data, scanned documents, user personal information",Textile or Home Furnishings Industry,United States
hpecds.com,15/7/24,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms, data mart extractions, developer handover checklists",Information Technology (IT) Services,United Kingdom
posiplus.com,15/7/24,"employee personal data, field service management procedures, password files",Construction Equipment Manufacturing,Canada
atos.com,15/7/24,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms",Industrial Automation or Engineering,Italy
dutyfreeamericas.com,12/3/24,"duty free docs, finance docs, hr docs, legal docs",Retail/Travel Retail,United States
keybenefit.com,25/6/24,"audit data, client relations decouments, executive level documents, pmo documents, users and employee data",Financial Services,United States
wielton.com.pl,17/6/24,"change management documentation, currency exchange sheet, project documentations, project drawings",Manufacturing/Transportation/Truck and Trailer Industry,Poland
scrubsandbeyond.com,25/6/24,"client services documents, employee records, payroll/accounting information",Healthcare,United States
grupoamper.com,17/6/24,"payroll, r&d data, scans, company data:hr, finance, pmo data, users and employee personal data",Electronics or Telecommunications.,Spain
modplan.co.uk,17/6/24,"users personal data, director level data, finance data, payroll data","Construction/Building Materials (specifically, fenestration market)",United Kingdom
akdenizchemson.com,7/6/24,"corporate data, department data, hr, users personal data, financial",Chemicals/Plastics Industry,Australia
talalayglobal.com,7/6/24,"accounting & finance data, business office data, compliance data, employees personal folders and documents, legal data, scans and fax, credentialing data, human resources",Manufacturing,United States
olsonsteel.com,4/5/24,"confidential documents and drawings, employees and user personal data, hr/accounting data, projects and cad data",Construction/Steel Fabrication,United States
ssiworld.com,6/6/24,"department data, hr data, personal users data",Waste Management and Recycling Industry,United States
elutia.com,6/6/24,"corporate data, employee personal data, passports, scans, r&d documents, tax forms",Medical Device Industry,United States
robson.com,6/6/24,"clients data, corporate data, employeepersonal documents and folders",Real Estate Development,United States
dynasafe.com,6/6/24,"corporate data, projects data, users personal data",Defense/Security,Sweden
keytronic.com,31/5/24,"corporate data, users personal data, hr/finance/engineering data",Electronics Manufacturing,United States
provencherroy.ca,4/5/24,"cad, corporate data, projects data, 3d drawings, ottawa data",Architecture,Canada
trugreen.com,21/5/24,"corporate data, personal users data, payroll/financial data",Lawn care or Landscaping Services,United States
atlasoil.com,21/5/24,"corporate data, departments data, users personal data",Energy/ Oil and Gas,United States
grupocadarso.com,21/5/24,"corporate data, financial documents, group data, personal users data, client data",Retail and Luxury Goods,Portugal
mfgroup.it,21/5/24,"corporate data, departments data, users personal data",Manufacturing,Italy
lactanet.ca,20/5/24,"corporate data, personal users data, lab data",Agriculture,Canada
gai-it.com,4/5/24,"company data, project data, users personal data","Manufacturing, specifically Packaging or Beverage Manufacturing.",Italy
active-pcb.com,4/5/24,"corporate data, personal users data, developer data, sales data, souce code",Electronics Manufacturing Services (EMS),England
synlab.com,4/5/24,"corporate data, users personal data, anatomy), customer personal data, medical analysis (spermograms, toxicology",Healthcare/Laboratory Services,Germany
ayesa.com,4/5/24,"cad, corporate data, employee personal data, project data",Consulting Services (Technology and Engineering),Spain
teaspa.it,4/5/24,"corporate data, employee personal data, project data",Utilities,Italy
swisspro.ch,4/5/24,"corporate data, customer data, employee personal data",Electrical Engineering or Electrical Services,Switzerland
ids-michigan.com,4/5/24,"corporate data, project data, cad and drawings, personal data","Architecture, Engineering, and Construction (AEC)",United States
cmactrans.com,4/5/24,"employee personal data, financial data, hr data",Transportation and Logistics,United States
kmbdg.com,27/3/24,"accounting documents, employee personal data, old and existing projects data",Engineering or Consulting Services,United States
bdcm.com,30/4/24,"corporate data, customer data, employee personal data",Financial Services,United States
thelawrencegroup.com,3/5/24,"employee personal data, project data, drivers lisence and passports",Architecture and Construction,United States
true.co.uk,24/4/24,"clients data, employee personal data, financial data, group data, legal data",Legal Services,United Kingdom
siemensmfg.com,9/4/24,"cad, common data, hmo, newg",Electronics Manufacturing,United States
columbiapipe.com,9/4/24,"accounts information, employee personal data, financial data, hr data, payroll, budget documents",Construction or Plumbing Supply,United States
azdel.com,19/4/24,"cad, contracts and agreements, corporate data, project data",Aerospace,South Korea
hymer-alu.de,19/4/24,"employee personal data, project data, corrporate data",Manufacturing,Germany
cavotec.com,19/4/24,"accounting and financial data, employee personal data, hr data, engineering and projects, technical r&d and drawings",Industrial Equipment or Manufacturing,Switzerland
macphie.com,19/4/24,"employee personal data, hr data, accounts data, fininacial data",Food Manufacturing,Scotland
fluenthome.com,19/4/24,"corporate data, employee personal data, r&d data",Home Security and Automation.,Canada
doyon.com | doyondrilling.com,18/4/24,"confidential information, corporate data, employee personal data, scans",Energy/ Oil and Gas Services,United States
arch-con.com,9/4/24,"accounting data, admin data, corporate data, employee personal data",Construction/General Contracting,United States
patersoncooke.com,9/4/24,"corporate data, drawings, employee personal data",Mining industry.,South Africa
atlascontainer.com,9/4/24,"accounting documents, corporate data, financial data, hr data",Packaging and Manufacturing,United States
robar.com,9/4/24,"corporate data, financial data, hr data, payroll",Construction Materials/Heavy Industry,United States
schlesingerlaw.com,9/4/24,"employee personal data, scans, document libraries",Law/Personal Injury Law,United States
sermo.com,9/4/24,"employee personal data, financial data, projects data, patient data",Healthcare Technology or Medical Informatics,United States
Parklane Group,9/4/24,"accounting documents, clients data, corporate data, hr data",Hospitality,United Kingdom
numotion.com,9/4/24,"employee personal data, hr data, legal data, payroll and financial data, users shared data",Healthcare Technology or Medical Equipment,United States
processsolutions.com,9/4/24,"cad, corporate data, employee personal data, projects data",Industrial Automation or Manufacturing,United States
rentacrate.com,Error,"employee personal data, personal documents, users and public data",Logistics or Moving Services,United States
gfgcapital.com,Error,"corporate data, quickbooks accounting documents",Financial Services,United States
jaytexgroup.com,Error,"accounting data, employee personal data, hr data, payroll",Apparel or Fashion Industry,Canada
duvel.com | boulevard.com,12/3/24,"accounting data, employee personal data, hr data",Food and Beverage,Belgium
keystonetech.com,12/3/24,"accounting data, employee personal data, financial data, hr data, it data, scans",Electronics or Lighting Industry,United States
pdq-airspares.co.uk,1/4/24,"corporate data, employee personal data",Aerospace/Airlines,United Kingdom
sierralobo.com,12/3/24,"accounting data, employee personal data, payroll, project data",Aerospace,United States
theshootingwarehouse.com,27/3/24,"accounting data, department data, employee personal data, hr data, payroll",Firearms and Ammunition Distribution.,United States
pctinternational.com,27/3/24,"employee personal data, financial data, hr data",Telecommunications Equipment Manufacturing,United States
mjcelco.com,27/3/24,"drawings, employee personal data, financial data, project and engineering data",Manufacturing,United States
organizedliving.com,27/3/24,"accounting documents, corporate data, employee personal data, engineering data, hr data",Home Storage and Organization Products,United States
amerlux.com,27/3/24,"corporate data, employee personal data, drawings and engineering",Lighting Industry,United States
ero-etikett.com,27/3/24,"employee personal data, financial data",Printing and Labeling Industry,Germany
carolinafoodsinc.com,27/3/24,"accounting documents, corporate data, users personal data",Bakery and Pastry Industry,United States
lagunitas.com,27/3/24,"corporate data, employee personal data","Beverage Industry (specifically, Brewing and Beer Production)",United States
bulwarkpestcontrol.com,27/3/24,"contracts and agreements, corporate data",Pest control services.,United States
dgse.com,29/3/24,"accounting data, corporate data, employee personal data",Retail/Wholesale Jewelry and Precious Metals.,United States
prodrive.com,29/3/24,"employee personal data, financial data, current and old), holding and corporate data, projects and r&d (new",Automotive,United Kingdom
otrwheel.com,27/3/24,"customer data, engineering data, financial data, hr data, employee personal data and password files","Manufacturing, specifically the Automotive or Industrial Equipment sector.",United States
northamericansigns.com,27/3/24,"accounting data, cad, corporate data, design documents, employee personal data",Commercial Signage Industry,United States
fpdcompany.com,27/3/24,"accounting data, engineering data, engineering employees personal data, finance and legal data",Aerospace and Defense,United States
vilis.com,27/3/24,"employee personal data, financial data, incident reports",Food Manufacturing or Retail.,Australia
flynncompanies.com,22/3/24,"corporate data, employee personal data",Construction/Building Materials,Canada
willislease.com,9/2/24,"corporate data, customer data, employee personal data, executive level data, hr data, nda, finance and accounting",Aviation Finance/Leasing,United States
logistasolutions.com,20/3/24,"department data, employee personal data",Information Technology (IT) Services,United States
igf-inc.com,20/3/24,"employee personal data, hr data, financial tax and payroll data",Food Distribution and Wholesale.,United States
nfllp.com,22/2/24,"corporate data, employee personal data, insurance docuemnts, passport information, ssns",Law Firms/ Legal Services,United States
interluxury.com,20/3/24,"corporate data, design documents",Fashion and Accessories,Switzerland
imperialtrading.com,12/3/24,"accounting documents, executive level data, hr data",Convenience Store Industry,United States
linksunlimited.com,12/3/24,"corporate data, payroll, accounting docuemnts, user shared data",Human Resources or Staffing Services,United States
creativeenvironments.com,12/3/24,"employee personal data, hr data, payroll, account information, customer files",Landscaping or Landscaping Services,United States
elmatic.de,12/3/24,"contracts and agreements, corporate data",Building Services or Mechanical Engineering,Germany
cpacsystems.se,12/3/24,"employee personal data, financial data, technical documentation",Automotive Electronics,Sweden
xcelbrands.com,12/3/24,"accounting documents, employee personal data, executive level data, private scans",Fashion/Apparel,United States
gfad.de,14/3/24,"financial data, employee shared folders, source code",IT Services/Software Development,Germany
activeconceptsllc.com,18/3/24,"accounting documents, employee personal data, hr data, r&d",Personal Care or Cosmetics.,United States
hvd.host,29/2/24,"accounting documents, employee personal data, financial data, legal documents",Textile or Fabric Industry,Australia
fairmontfcu.com,23/1/24,"corporate data, legal documents, scans, loans, user data",Financial Services,United States
alanritchey.com,29/2/24,"accounting documents, employee personal data, hr data, legal data",Construction or Contracting Services,United States
haas4.com,29/2/24,"company data, employee personal data, projects data",Construction/Heavy Hauling,United States
fcw.ch,29/2/24,"accounting documents, corporate data, hr data",Toys and Games,Switzerland
scullionlaw.com,29/2/24,"company data, employee personal data",Legal Services,United Kingdom
goodinabernathy.com,29/2/24,"corporate data, employee personal data, case data, confidential agreements",Legal Services,United States
zircodata.com,22/2/24,"employee personal data, financial data, it data, nda, rm/rmcorp",Document Management and Storage Services,Australia
dilweg.com,22/2/24,"employee personal data, financial data, scans, qbooks accounting data",Real Estate Investment.,United States
birchallfoodservice.co.uk,22/2/24,"accounts information, corporate data, employee personal data, hr data, payroll",Food and Beverage,United Kingdom
usmerchants.com,22/2/24,"corporate data, employee personal data, hr data, payroll, scans",Packaging and Distribution,United States
climatech.com,22/2/24,"accounting and financial data, hr data, payroll, employees folders and documents",Construction/Contracting,United States
team.jobs,22/2/24,"employee personal data, hr data",Staffing and Recruiting,Switzerland
pacifica.co.uk,16/2/24,"corporate data, customer documents, personal documents",Domestic Appliances Industry,United Kingdom
leonardssyrups.com,13/2/24,"corporate data, employee personal data, financial data, hr data",Food and Beverage Service Industry,United States
globalrescue.com,13/2/24,"accounting documents, hr data, legal documents",Travel and Emergency Services,United States
btl.info,13/2/24,"corporate data, financial documents, personal documents, customer docuements",Event Technology or Live Events Industry.,Germany
patriziapepe.com,13/2/24,"corporate data, hr data, personal user folders",Fashion,Italy
ffppkg.co.uk,13/2/24,"departments data, hr data, accounts, engineering, shared folders",Packaging industry,United Kingdom
barberemerson.com,13/2/24,"corporate data, customer documents, personal user folders",Law Firms/ Legal Services,United States
asecos.com,5/2/24,"corporate data, employee personal data, qa data",Industrial Safety and Security,Germany
sipicorp.com,26/1/24,"accounting data, corporate data, employee personal data",Metals and Mining,United States
leclairgroup.com,26/1/24,"401k forms, i-9 forms, insurance data",Insurance,United States
stemcor.com,23/1/24,"employee personal data, financial and accounting data",Steel Industry,United Kingdom
unitedindustries.co.nz,23/1/24,"employee personal data, accounts and finance",Construction/Engineering,New Zealand
prudentpublishing.com,23/1/24,"employee personal data, hr data, tax confidential forms",Publishing/Printing,United States
agc.com,22/1/24,"employee personal data, financial data, hr data, technical documentation",Glass Manufacturing,Japan
haes.ca,23/1/24,"admin data, financial data, hr data, projects data, executive and governance data",Oil and Gas Services,Canada
kivibros.com,23/1/24,"accounting data, hr data, payroll",Transportation and Logistics,United States
dupont-restauration.fr,23/1/24,employee personal folders and files,Food Service or Hospitality,France
envea.global,23/1/24,"contracts and agreements, hr data",Environmental Monitoring and Management,United Kingdom
nals.com,2/1/24,"accounting documents, employee personal data, payroll, reports",Real Estate,United States
leonardsexpress.com,2/1/24,"financial data, passports, 1099 information, insurance documents, ssn",Transportation and Logistics,United States
graebener-group.com,2/1/24,"employee personal folders and files, technical documentation","Renewable Energy or more specifically, Hydrogen Fuel Cell Technology.",Germany